Channel,Sentiment
Republic,0.224214375
Republic,0.4200517237
Republic,0.4106751382
Republic,0.3096955419
Republic,0.6954934001
Republic,0.4265831411
Republic,0.4293708503
Republic,0.7497670054
Republic,0.1542329639
Republic,0.4458219111
Republic,0.426764369
Republic,0.022667937
Republic,0.2470747083
Republic,0.3756774664
Republic,0.2425204664
Republic,0.5704824924
Republic,0.2246987671
Republic,0.6707468629
Republic,0.5098968148
Republic,0.5039573908
Republic,0.2825639546
Republic,0.3847175837
Republic,0.781894803
Republic,0.8815524578
Republic,0.3363243341
Republic,0.5166211128
Republic,0.2457358092
Republic,0.6255631447
Republic,0.5663588643
Republic,0.8006383777
Republic,0.7782738805
Republic,0.0894436091
Republic,0.06278155
Republic,0.6233938336
Republic,0.2821954191
Republic,0.4410169125
Republic,0.0812046602
Republic,0.8603329062
Republic,0.8450480103
Republic,0.1811999679
Republic,0.3443514407
Republic,0.102927044
Republic,0.3066467643
Republic,0.4958645999
Republic,0.7620400786
Republic,0.6500444412
Republic,0.2796818912
Republic,0.2416038513
Republic,0.1337337941
Republic,0.6120696068
Times Now,0.4894259274
Times Now,0.2542241216
Times Now,0.632499516
Times Now,0.347094208
Times Now,0.4902097285
Times Now,0.076136604
Times Now,0.6713404059
Times Now,0.7876908779
Times Now,0.2416983694
Times Now,0.5210892558
Times Now,0.3628647029
Times Now,0.0069723544
Times Now,0.1607927084
Times Now,0.3721023798
Times Now,0.2946495712
Times Now,0.6729981899
Times Now,0.3963820934
Times Now,0.4665360451
Times Now,0.8018085361
Times Now,0.3644873798
Times Now,0.242680788
Times Now,0.4034736454
Times Now,0.2798912525
Times Now,0.4553772807
Times Now,0.2220287025
Times Now,0.3822520375
Times Now,0.4070746601
Times Now,0.426014632
Times Now,0.2099300325
Times Now,0.8686130047
Times Now,0.3889397979
Times Now,0.3828329444
Times Now,0.6176643968
Times Now,0.0807361975
Times Now,0.407581389
Times Now,0.1899620593
Times Now,0.8095741272
Times Now,0.6374409795
Times Now,0.732383132
Times Now,0.2477514297
Times Now,0.4530120194
Times Now,0.4600729644
Times Now,0.4720155299
Times Now,0.3920988441
Times Now,0.1742849946
Times Now,0.0091876108
Times Now,0.1930893511
Times Now,0.4887055159
Times Now,0.3267142773
Times Now,0.2560933232
Mirror Now,0.7080442309
Mirror Now,0.2407515794
Mirror Now,0.4600729644
Mirror Now,0.1641789377
Mirror Now,0.426959753
Mirror Now,0.8007005453
Mirror Now,0.1862590909
Mirror Now,0.5238230824
Mirror Now,0.5382610559
Mirror Now,0.0684105977
Mirror Now,0.9254875779
Mirror Now,0.4205889404
Mirror Now,0.1992797554
Mirror Now,0.0122924699
Mirror Now,0.8411306143
Mirror Now,0.5973633528
Mirror Now,0.6347093582
Mirror Now,0.1934770346
Mirror Now,0.4683685601
Mirror Now,0.4198596179
Mirror Now,0.5891364217
Mirror Now,0.4109736979
Mirror Now,0.8023648262
Mirror Now,0.5086217523
Mirror Now,0.9313776493
Mirror Now,0.7812719345
Mirror Now,0.8027108312
Mirror Now,0.1373464614
Mirror Now,0.939868927
Mirror Now,0.4639977217
Mirror Now,0.3197646737
Mirror Now,0.4684055746
Mirror Now,0.1860896796
Mirror Now,0.8522073627
Mirror Now,0.3604693115
Mirror Now,0.5091785789
Mirror Now,0.7298990488
Mirror Now,0.4277737141
Mirror Now,0.830855906
Mirror Now,0.8354720473
Mirror Now,0.164607957
Mirror Now,0.5414149761
Mirror Now,0.7067447901
Mirror Now,0.4707832336
Mirror Now,0.1656499803
Mirror Now,0.5450074077
Mirror Now,0.7172487378
Mirror Now,0.1105406657
Mirror Now,0.8808742166
NDTV Hindi,0.4824011624
NDTV Hindi,0.5022366047
NDTV Hindi,0.1500058621
NDTV Hindi,0.8619292378
NDTV Hindi,0.5859193802
NDTV Hindi,0.0812079906
NDTV Hindi,0.4583419263
NDTV Hindi,0.6902233958
NDTV Hindi,0.7345654964
NDTV Hindi,0.4636900127
NDTV Hindi,0.8875755668
NDTV Hindi,0.620840013
NDTV Hindi,0.4041787386
NDTV Hindi,0.3688503504
NDTV Hindi,0.9090085626
NDTV Hindi,0.1118151471
NDTV Hindi,0.9071288109
NDTV Hindi,0.6627415419
CNN News 18,0.8572522402
CNN News 18,0.8498038054
CNN News 18,0.2940931022
CNN News 18,0.5715171099
CNN News 18,0.2071684003
CNN News 18,0.8715936542
CNN News 18,0.4305157363
CNN News 18,0.4913250208
CNN News 18,0.1013963968
CNN News 18,0.368045032
CNN News 18,0.7739040256
CNN News 18,0.2089613676
CNN News 18,0.8655464053
CNN News 18,0.7550545931
CNN News 18,0.7373637557
NDTV,0.660302639
NDTV,0.2919661105
NDTV,0.5410770774
NDTV,0.2400457263
NDTV,0.2370018065
NDTV,0.6852394938
NDTV,0.0795173198
NDTV,0.4139175713
NDTV,0.0944213197
NDTV,0.0446170233
NDTV,0.3131970167
India Today,0.6927178502
India Today,0.6324058175
India Today,0.7007871866
India Today,0.1932105869
India Today,0.545723021
India Today,0.2637162805
India Today,0.4293168783
India Today,0.8185196519
India Today,0.8267933726
India Today,0.6117751002
India Today,0.5015610456
India Today,0.3538409173
India Today,0.2462355047
India Today,0.7379207015
India Today,0.6762004495
India Today,0.7526805997
India Today,0.6565885544
India Today,0.048944816
India Today,0.177999422
India Today,0.6668262482
India Today,0.7856549621
India Today,0.2922599018
India Today,0.4919760823
